Order Id,Order Item Id,order date (DateOrders),shipping date (DateOrders),Days for shipping (real),Days for shipment (scheduled),Delivery Status,Late_delivery_risk,Order Status,Shipping Mode,Customer Id,Customer Segment,Market,Order Region,Order Country,Category Name,Product Name,Product Price,Order Item Quantity,Order Item Discount,Sales,Order Item Total,Order Profit Per Order,Benefit per order
30198,12,09/10/2017 00:00,09/13/2017 00:00,3,4,Late delivery,0,PROCESSING,Standard Class,7861,Corporate,Pacific Asia,South America,SampleLand,Camping & Hiking,Sample Product,110.81,4,57.18,443.24,386.06,121.01,80.73
50399,13,11/12/2016 00:00,11/14/2016 00:00,2,2,Shipping on time,0,PENDING_PAYMENT,Standard Class,3003,Home Office,Africa,Western Europe,SampleLand,Cardio Equipment,Sample Product,136.4,2,14.84,272.8,257.96,-24.97,41.36
9340,14,06/18/2017 00:00,06/22/2017 00:00,4,4,Late delivery,0,ON_HOLD,Second Class,3855,Corporate,Europe,Southeast Asia,SampleLand,Camping & Hiking,Sample Product,354.09,4,107.03,1416.36,1309.33,105.85,16.27
47573,15,05/14/2016 00:00,05/16/2016 00:00,2,2,Late delivery,0,PROCESSING,Second Class,5330,Home Office,LATAM,Southeast Asia,SampleLand,Electronics,Sample Product,259.56,1,0.84,259.56,258.72,59.68,53.96
51264,16,08/15/2015 00:00,08/20/2015 00:00,5,2,Advance shipping,1,PENDING_PAYMENT,Second Class,6949,Consumer,Pacific Asia,Western Europe,SampleLand,Water Sports,Sample Product,376.25,2,25.3,752.5,727.2,-14.65,48.45
2092,17,08/08/2016 00:00,08/12/2016 00:00,4,4,Late delivery,0,PENDING_PAYMENT,Standard Class,9130,Consumer,Pacific Asia,US Center,SampleLand,Men's Footwear,Sample Product,261.3,2,36.35,522.6,486.25,-41.64,89.01
40547,18,04/04/2015 00:00,04/07/2015 00:00,3,4,Late delivery,0,PENDING,Second Class,7429,Consumer,Europe,Oceania,SampleLand,Fishing,Sample Product,170.42,4,40.8,681.68,640.88,-53.58,125.75
29109,19,06/21/2017 00:00,06/26/2017 00:00,5,4,Shipping on time,1,PROCESSING,Second Class,247,Consumer,Africa,Central America,SampleLand,Cardio Equipment,Sample Product,60.79,4,26.07,243.16,217.09,33.47,43.86
38276,20,10/25/2016 00:00,10/29/2016 00:00,4,4,Shipping on time,0,PENDING,First Class,2195,Consumer,LATAM,Central America,SampleLand,Electronics,Sample Product,109.28,1,10.03,109.28,99.25,0.36,20.61
17679,21,04/27/2017 00:00,05/04/2017 00:00,7,6,Late delivery,1,PENDING_PAYMENT,Second Class,7530,Home Office,LATAM,Southeast Asia,SampleLand,Cleats,Sample Product,206.38,5,136.25,1031.9,895.65,14.37,78.65
13220,22,02/06/2016 00:00,02/14/2016 00:00,8,6,Late delivery,1,PROCESSING,Standard Class,3467,Consumer,LATAM,West Africa,SampleLand,Cardio Equipment,Sample Product,280.21,5,179.64,1401.05,1221.41,-113.81,221.21
17223,23,10/31/2017 00:00,11/05/2017 00:00,5,6,Advance shipping,0,CLOSED,Standard Class,718,Home Office,Africa,Central America,SampleLand,Electronics,Sample Product,469.93,3,51.01,1409.79,1358.78,307.98,418.55
9190,24,08/11/2017 00:00,08/16/2017 00:00,5,4,Late delivery,1,ON_HOLD,Standard Class,6567,Home Office,Africa,Oceania,SampleLand,Men's Footwear,Sample Product,127.46,2,0.67,254.92,254.25,71.1,-17.63
24329,25,05/14/2017 00:00,05/17/2017 00:00,3,4,Shipping canceled,0,COMPLETE,Standard Class,3804,Corporate,Africa,Southeast Asia,SampleLand,Men's Footwear,Sample Product,336.38,3,129.34,1009.14,879.8,202.43,222.09
52381,26,07/20/2015 00:00,07/23/2015 00:00,3,4,Late delivery,0,PENDING,First Class,10077,Home Office,LATAM,Central America,SampleLand,Cleats,Sample Product,84.75,3,12.55,254.25,241.7,-9.35,-10.16
46718,27,06/02/2016 00:00,06/05/2016 00:00,3,4,Late delivery,0,PENDING,First Class,10675,Consumer,LATAM,Southeast Asia,SampleLand,Water Sports,Sample Product,359.74,4,74.92,1438.96,1364.04,451.16,149.38
10765,28,03/13/2015 00:00,03/14/2015 00:00,1,2,Shipping on time,0,ON_HOLD,Same Day,1555,Home Office,Europe,Southeast Asia,SampleLand,Indoor/Outdoor Games,Sample Product,15.56,2,0.74,31.12,30.38,10.12,-0.79
33488,29,06/20/2015 00:00,06/24/2015 00:00,4,4,Advance shipping,0,PENDING_PAYMENT,Standard Class,9326,Corporate,Pacific Asia,South America,SampleLand,Camping & Hiking,Sample Product,331.4,1,34.45,331.4,296.95,4.93,74.86
4424,30,01/24/2017 00:00,01/28/2017 00:00,4,1,Shipping on time,1,PENDING,Standard Class,10300,Corporate,Europe,US Center,SampleLand,Water Sports,Sample Product,89.98,4,15.12,359.92,344.8,118.05,-28.71
3572,31,04/14/2017 00:00,04/18/2017 00:00,4,1,Late delivery,1,ON_HOLD,Standard Class,7687,Corporate,USCA,Western Europe,SampleLand,Cardio Equipment,Sample Product,98.36,4,10.43,393.44,383.01,38.26,82.54
37536,32,10/26/2017 00:00,10/31/2017 00:00,5,6,Advance shipping,0,CLOSED,First Class,7308,Home Office,USCA,Oceania,SampleLand,Indoor/Outdoor Games,Sample Product,283.86,2,42.87,567.72,524.85,-42.64,42.34
18151,33,12/13/2015 00:00,12/17/2015 00:00,4,1,Late delivery,1,PENDING,Second Class,5568,Home Office,USCA,South America,SampleLand,Cleats,Sample Product,193.95,4,87.33,775.8,688.47,109.42,13.27
42260,34,03/01/2016 00:00,03/07/2016 00:00,6,4,Advance shipping,1,ON_HOLD,Second Class,5876,Consumer,Europe,Oceania,SampleLand,Electronics,Sample Product,240.94,3,29.23,722.82,693.59,95.03,230.42
9355,35,06/04/2016 00:00,06/09/2016 00:00,5,4,Late delivery,1,COMPLETE,First Class,948,Consumer,LATAM,West Africa,SampleLand,Electronics,Sample Product,161.36,3,52.43,484.08,431.65,123.55,13.57
7178,36,07/16/2015 00:00,07/20/2015 00:00,4,2,Late delivery,1,ON_HOLD,Standard Class,1728,Consumer,Europe,South America,SampleLand,Cardio Equipment,Sample Product,477.2,1,33.07,477.2,444.13,26.67,-2.1
42903,37,06/01/2015 00:00,06/08/2015 00:00,7,6,Advance shipping,1,COMPLETE,Standard Class,8208,Corporate,LATAM,Western Europe,SampleLand,Camping & Hiking,Sample Product,152.42,2,18.46,304.84,286.38,70.16,26.97
12412,38,06/09/2016 00:00,06/11/2016 00:00,2,2,Late delivery,0,PENDING_PAYMENT,Second Class,6599,Consumer,Africa,Oceania,SampleLand,Men's Footwear,Sample Product,275.6,2,29.73,551.2,521.47,132.47,18.78
3490,39,08/15/2015 00:00,08/22/2015 00:00,7,6,Late delivery,1,PENDING_PAYMENT,Standard Class,2088,Corporate,Africa,US Center,SampleLand,Men's Footwear,Sample Product,428.63,5,46.8,2143.15,2096.35,-176.66,476.95
47326,40,12/30/2016 00:00,01/05/2017 00:00,6,4,Advance shipping,1,ON_HOLD,Standard Class,4244,Consumer,Africa,South America,SampleLand,Cardio Equipment,Sample Product,335.45,5,83.69,1677.25,1593.56,323.36,-137.73
42323,41,05/09/2016 00:00,05/13/2016 00:00,4,2,Shipping on time,1,ON_HOLD,Standard Class,7755,Home Office,USCA,Western Europe,SampleLand,Cardio Equipment,Sample Product,168.16,5,110.89,840.8,729.91,84.5,154.32
55775,42,06/25/2017 00:00,06/26/2017 00:00,1,2,Late delivery,0,ON_HOLD,Standard Class,2268,Home Office,LATAM,South America,SampleLand,Camping & Hiking,Sample Product,280.69,3,12.9,842.07,829.17,-7.39,74.58
35941,43,02/21/2017 00:00,02/26/2017 00:00,5,2,Late delivery,1,ON_HOLD,Same Day,2529,Consumer,Pacific Asia,US Center,SampleLand,Cleats,Sample Product,50.67,2,14.57,101.34,86.77,7.6,21.93
28589,44,11/19/2015 00:00,11/23/2015 00:00,4,4,Late delivery,0,ON_HOLD,Standard Class,10559,Consumer,USCA,Southeast Asia,SampleLand,Fishing,Sample Product,277.39,3,13.42,832.17,818.75,233.96,41.15
40225,45,06/25/2017 00:00,06/30/2017 00:00,5,2,Advance shipping,1,PENDING_PAYMENT,Standard Class,5497,Home Office,LATAM,Central America,SampleLand,Water Sports,Sample Product,221.38,4,48.09,885.52,837.43,176.19,-76.91
47520,46,06/04/2017 00:00,06/10/2017 00:00,6,6,Shipping canceled,0,ON_HOLD,Same Day,5527,Consumer,Africa,West Africa,SampleLand,Electronics,Sample Product,381.39,4,138.74,1525.56,1386.82,252.73,337.66
37752,47,03/22/2016 00:00,03/23/2016 00:00,1,2,Late delivery,0,PROCESSING,Standard Class,881,Corporate,Africa,South America,SampleLand,Electronics,Sample Product,425.47,4,213.89,1701.88,1487.99,-94.22,-60.05
19164,48,10/15/2015 00:00,10/24/2015 00:00,9,6,Advance shipping,1,CLOSED,Second Class,957,Home Office,Africa,Western Europe,SampleLand,Cleats,Sample Product,107.81,3,6.97,323.43,316.46,63.29,36.39
53386,49,01/23/2017 00:00,01/26/2017 00:00,3,2,Late delivery,1,ON_HOLD,First Class,7793,Corporate,Europe,US Center,SampleLand,Camping & Hiking,Sample Product,49.95,4,4.23,199.8,195.57,47.2,53.75
42194,50,06/09/2015 00:00,06/15/2015 00:00,6,6,Late delivery,0,COMPLETE,Standard Class,3626,Home Office,Europe,West Africa,SampleLand,Camping & Hiking,Sample Product,201.37,5,94.9,1006.85,911.95,298.66,288.4
52638,51,07/24/2015 00:00,07/25/2015 00:00,1,2,Advance shipping,0,COMPLETE,Standard Class,3356,Consumer,USCA,West Africa,SampleLand,Water Sports,Sample Product,271.73,4,47.73,1086.92,1039.19,269.27,11.12
33433,52,01/15/2015 00:00,01/18/2015 00:00,3,4,Late delivery,0,COMPLETE,Standard Class,2178,Corporate,USCA,Central America,SampleLand,Electronics,Sample Product,194.63,3,56.45,583.89,527.44,-33.77,146.19
26995,53,05/21/2017 00:00,05/24/2017 00:00,3,4,Late delivery,0,PENDING_PAYMENT,Standard Class,9041,Home Office,Europe,South America,SampleLand,Cleats,Sample Product,317.99,5,195.7,1589.95,1394.25,452.56,347.52
50592,54,12/20/2016 00:00,12/25/2016 00:00,5,2,Late delivery,1,COMPLETE,Standard Class,11271,Corporate,Europe,Western Europe,SampleLand,Water Sports,Sample Product,257.77,5,14.86,1288.85,1273.99,326.61,402.08
36697,55,02/28/2017 00:00,03/05/2017 00:00,5,6,Late delivery,0,PENDING,Standard Class,3127,Home Office,Europe,US Center,SampleLand,Cleats,Sample Product,468.95,4,237.62,1875.8,1638.18,-161.36,437.1
46554,56,05/16/2017 00:00,05/17/2017 00:00,1,2,Late delivery,0,PENDING,Standard Class,2917,Home Office,USCA,Oceania,SampleLand,Camping & Hiking,Sample Product,210.6,5,5.94,1053.0,1047.06,231.09,-62.54
53396,57,05/27/2016 00:00,06/03/2016 00:00,7,4,Advance shipping,1,PENDING,Second Class,9356,Consumer,LATAM,Central America,SampleLand,Women's Apparel,Sample Product,50.42,2,13.6,100.84,87.24,3.21,28.35
17048,58,08/20/2016 00:00,08/27/2016 00:00,7,4,Late delivery,1,COMPLETE,Standard Class,6077,Consumer,Pacific Asia,US Center,SampleLand,Fishing,Sample Product,157.95,3,69.34,473.85,404.51,69.68,-35.95
11580,59,06/09/2015 00:00,06/13/2015 00:00,4,4,Late delivery,0,PENDING,Standard Class,9530,Corporate,Europe,Southeast Asia,SampleLand,Fishing,Sample Product,306.89,2,61.45,613.78,552.33,15.05,30.16
8968,60,05/20/2015 00:00,05/23/2015 00:00,3,1,Late delivery,1,PENDING,Standard Class,8946,Home Office,USCA,Southeast Asia,SampleLand,Cardio Equipment,Sample Product,135.45,2,40.0,270.9,230.9,52.77,17.35
35994,61,12/27/2016 00:00,12/30/2016 00:00,3,2,Late delivery,1,PROCESSING,Second Class,9546,Corporate,USCA,Oceania,SampleLand,Cleats,Sample Product,141.8,4,69.94,567.2,497.26,-7.94,58.86
48459,62,06/05/2016 00:00,06/08/2016 00:00,3,2,Late delivery,1,PENDING_PAYMENT,Standard Class,1902,Consumer,Africa,West Africa,SampleLand,Men's Footwear,Sample Product,176.39,4,4.7,705.56,700.86,193.12,4.1
58572,63,08/17/2016 00:00,08/19/2016 00:00,2,2,Late delivery,0,PENDING,Standard Class,6422,Corporate,Europe,Central America,SampleLand,Electronics,Sample Product,375.61,1,0.21,375.61,375.4,-25.22,-16.63
1968,64,05/03/2017 00:00,05/07/2017 00:00,4,2,Late delivery,1,COMPLETE,Same Day,5250,Corporate,LATAM,Southeast Asia,SampleLand,Cleats,Sample Product,470.67,4,5.87,1882.68,1876.81,-167.33,519.26
100,65,10/29/2016 00:00,11/07/2016 00:00,9,6,Late delivery,1,PENDING_PAYMENT,Second Class,10402,Consumer,Europe,West Africa,SampleLand,Women's Apparel,Sample Product,181.68,1,12.32,181.68,169.36,-6.88,31.98
40742,66,08/07/2016 00:00,08/13/2016 00:00,6,4,Late delivery,1,PENDING,Second Class,7839,Corporate,Europe,Central America,SampleLand,Water Sports,Sample Product,105.79,1,9.89,105.79,95.9,7.01,10.9
16174,67,08/12/2016 00:00,08/19/2016 00:00,7,4,Late delivery,1,PROCESSING,Second Class,8940,Home Office,LATAM,Southeast Asia,SampleLand,Men's Footwear,Sample Product,216.11,3,46.82,648.33,601.51,117.6,149.52
28555,68,11/06/2015 00:00,11/09/2015 00:00,3,4,Advance shipping,0,PENDING,Standard Class,10583,Corporate,Pacific Asia,Southeast Asia,SampleLand,Men's Footwear,Sample Product,182.4,2,37.05,364.8,327.75,38.11,102.2
4723,69,02/23/2015 00:00,02/27/2015 00:00,4,2,Late delivery,1,ON_HOLD,Standard Class,8286,Consumer,USCA,Central America,SampleLand,Camping & Hiking,Sample Product,495.11,5,166.95,2475.55,2308.6,263.34,1.77
4518,70,05/08/2016 00:00,05/15/2016 00:00,7,4,Late delivery,1,COMPLETE,Standard Class,7849,Consumer,Europe,Oceania,SampleLand,Fishing,Sample Product,237.3,1,1.52,237.3,235.78,68.26,10.68
31686,71,08/05/2015 00:00,08/08/2015 00:00,3,2,Shipping on time,1,ON_HOLD,First Class,6358,Consumer,Europe,South America,SampleLand,Men's Footwear,Sample Product,342.85,1,11.63,342.85,331.22,50.24,106.14
41313,72,04/13/2016 00:00,04/18/2016 00:00,5,2,Late delivery,1,PROCESSING,Same Day,961,Corporate,Pacific Asia,Western Europe,SampleLand,Fishing,Sample Product,457.76,4,272.63,1831.04,1558.41,200.14,225.69
53174,73,07/11/2017 00:00,07/15/2017 00:00,4,4,Late delivery,0,PROCESSING,Second Class,8649,Home Office,LATAM,Central America,SampleLand,Water Sports,Sample Product,318.24,2,33.02,636.48,603.46,53.55,16.03
28972,74,08/21/2015 00:00,08/28/2015 00:00,7,4,Late delivery,1,ON_HOLD,Standard Class,3859,Corporate,USCA,Central America,SampleLand,Indoor/Outdoor Games,Sample Product,132.2,4,25.76,528.8,503.04,171.18,-14.49
38734,75,03/30/2015 00:00,04/08/2015 00:00,9,6,Late delivery,1,CLOSED,Second Class,1480,Home Office,Europe,Western Europe,SampleLand,Cleats,Sample Product,307.63,4,28.2,1230.52,1202.32,11.14,414.7
51606,76,10/07/2015 00:00,10/11/2015 00:00,4,2,Shipping on time,1,PROCESSING,Second Class,4211,Corporate,USCA,West Africa,SampleLand,Electronics,Sample Product,206.92,1,30.64,206.92,176.28,-5.29,24.81
25912,77,10/22/2015 00:00,10/28/2015 00:00,6,4,Late delivery,1,PENDING_PAYMENT,Standard Class,4164,Consumer,USCA,Western Europe,SampleLand,Electronics,Sample Product,216.95,3,22.5,650.85,628.35,76.39,180.97
12518,78,12/14/2016 00:00,12/17/2016 00:00,3,2,Late delivery,1,PROCESSING,Standard Class,4659,Corporate,USCA,Southeast Asia,SampleLand,Electronics,Sample Product,489.87,3,142.59,1469.61,1327.02,272.03,247.09
49525,79,08/10/2016 00:00,08/12/2016 00:00,2,2,Late delivery,0,PENDING_PAYMENT,Standard Class,3361,Corporate,Pacific Asia,US Center,SampleLand,Electronics,Sample Product,146.51,1,0.92,146.51,145.59,-13.14,14.51
138,80,05/18/2017 00:00,05/23/2017 00:00,5,4,Late delivery,1,ON_HOLD,Standard Class,11299,Consumer,LATAM,South America,SampleLand,Electronics,Sample Product,239.78,4,9.56,959.12,949.56,271.24,271.8
16558,81,12/19/2016 00:00,12/24/2016 00:00,5,2,Shipping canceled,1,PENDING,Second Class,10603,Consumer,LATAM,South America,SampleLand,Water Sports,Sample Product,88.33,5,47.48,441.65,394.17,10.8,23.82
7830,82,04/11/2016 00:00,04/14/2016 00:00,3,4,Late delivery,0,PROCESSING,Standard Class,429,Corporate,LATAM,Southeast Asia,SampleLand,Women's Apparel,Sample Product,97.49,5,46.44,487.45,441.01,83.98,108.41
38609,83,06/11/2017 00:00,06/15/2017 00:00,4,4,Late delivery,0,COMPLETE,Second Class,5960,Consumer,LATAM,Oceania,SampleLand,Men's Footwear,Sample Product,305.71,1,31.19,305.71,274.52,-6.05,28.56
16177,84,06/29/2015 00:00,07/01/2015 00:00,2,1,Advance shipping,1,COMPLETE,Standard Class,3626,Consumer,Africa,Oceania,SampleLand,Fishing,Sample Product,378.0,1,13.1,378.0,364.9,106.68,110.87
20658,85,02/11/2015 00:00,02/17/2015 00:00,6,6,Shipping canceled,0,PROCESSING,Standard Class,10186,Consumer,LATAM,South America,SampleLand,Men's Footwear,Sample Product,321.87,5,237.75,1609.35,1371.6,84.36,173.44
39135,86,04/29/2015 00:00,05/05/2015 00:00,6,4,Late delivery,1,PENDING,Second Class,5909,Home Office,Pacific Asia,Western Europe,SampleLand,Men's Footwear,Sample Product,171.35,2,28.7,342.7,314.0,-4.98,14.64
17774,87,03/22/2017 00:00,03/26/2017 00:00,4,4,Advance shipping,0,COMPLETE,Standard Class,7611,Consumer,Pacific Asia,South America,SampleLand,Cleats,Sample Product,39.21,4,22.81,156.84,134.03,-12.21,30.37
21759,88,05/29/2016 00:00,06/04/2016 00:00,6,4,Late delivery,1,PENDING_PAYMENT,First Class,1037,Corporate,USCA,Western Europe,SampleLand,Camping & Hiking,Sample Product,240.43,2,11.84,480.86,469.02,18.27,134.64
29951,89,06/25/2015 00:00,06/30/2015 00:00,5,6,Late delivery,0,PENDING_PAYMENT,Second Class,8558,Consumer,LATAM,Southeast Asia,SampleLand,Water Sports,Sample Product,257.09,2,31.24,514.18,482.94,34.12,136.65
7095,90,06/28/2016 00:00,06/30/2016 00:00,2,2,Advance shipping,0,PENDING_PAYMENT,First Class,5802,Consumer,LATAM,Southeast Asia,SampleLand,Cleats,Sample Product,387.62,4,78.07,1550.48,1472.41,-123.97,169.74
56110,91,06/18/2015 00:00,06/24/2015 00:00,6,4,Late delivery,1,CLOSED,Standard Class,10502,Consumer,Africa,Southeast Asia,SampleLand,Cardio Equipment,Sample Product,323.74,2,73.33,647.48,574.15,86.07,56.31
58894,92,02/16/2017 00:00,02/21/2017 00:00,5,4,Late delivery,1,PROCESSING,Second Class,1286,Consumer,USCA,Southeast Asia,SampleLand,Indoor/Outdoor Games,Sample Product,436.92,1,48.99,436.92,387.93,40.58,-12.73
42781,93,05/16/2016 00:00,05/20/2016 00:00,4,2,Advance shipping,1,COMPLETE,Standard Class,3636,Consumer,USCA,Oceania,SampleLand,Camping & Hiking,Sample Product,393.66,3,86.19,1180.98,1094.79,133.43,-90.15
6494,94,03/14/2016 00:00,03/20/2016 00:00,6,4,Shipping canceled,1,COMPLETE,Second Class,10053,Consumer,LATAM,Western Europe,SampleLand,Men's Footwear,Sample Product,189.28,1,0.46,189.28,188.82,-7.54,60.27
28346,95,11/02/2015 00:00,11/08/2015 00:00,6,6,Shipping on time,0,CLOSED,Standard Class,2809,Corporate,USCA,West Africa,SampleLand,Electronics,Sample Product,319.79,1,8.4,319.79,311.39,22.54,70.48
21307,96,10/23/2016 00:00,10/28/2016 00:00,5,4,Late delivery,1,ON_HOLD,Standard Class,3241,Consumer,USCA,US Center,SampleLand,Men's Footwear,Sample Product,376.17,4,11.35,1504.68,1493.33,501.06,238.26
9982,97,02/17/2016 00:00,02/24/2016 00:00,7,4,Late delivery,1,PROCESSING,Standard Class,3627,Consumer,Africa,West Africa,SampleLand,Men's Footwear,Sample Product,478.87,3,182.52,1436.61,1254.09,76.3,203.83
52596,98,04/27/2015 00:00,05/04/2015 00:00,7,4,Shipping on time,1,PENDING_PAYMENT,Second Class,6276,Consumer,LATAM,US Center,SampleLand,Camping & Hiking,Sample Product,216.95,3,28.29,650.85,622.56,159.89,-55.72
24902,99,05/23/2015 00:00,05/28/2015 00:00,5,6,Late delivery,0,ON_HOLD,Standard Class,656,Home Office,Pacific Asia,West Africa,SampleLand,Cleats,Sample Product,327.66,1,5.8,327.66,321.86,-14.2,33.53
39157,100,10/19/2017 00:00,10/27/2017 00:00,8,6,Shipping on time,1,ON_HOLD,Second Class,7420,Consumer,LATAM,US Center,SampleLand,Women's Apparel,Sample Product,202.41,1,10.75,202.41,191.66,-8.57,60.3
41468,101,08/24/2017 00:00,08/29/2017 00:00,5,4,Advance shipping,1,COMPLETE,First Class,9716,Corporate,Europe,US Center,SampleLand,Water Sports,Sample Product,371.54,2,8.61,743.08,734.47,256.71,79.26
19188,102,02/21/2017 00:00,02/22/2017 00:00,1,2,Late delivery,0,PENDING_PAYMENT,Standard Class,3669,Corporate,Europe,South America,SampleLand,Men's Footwear,Sample Product,456.88,2,134.17,913.76,779.59,149.5,125.8
20919,103,09/20/2015 00:00,09/23/2015 00:00,3,1,Late delivery,1,ON_HOLD,Standard Class,2056,Consumer,LATAM,Oceania,SampleLand,Camping & Hiking,Sample Product,460.42,3,65.27,1381.26,1315.99,262.11,91.72
58220,104,10/28/2017 00:00,10/31/2017 00:00,3,4,Late delivery,0,PENDING,First Class,4216,Consumer,Europe,South America,SampleLand,Indoor/Outdoor Games,Sample Product,86.97,1,12.17,86.97,74.8,6.86,-3.94
49475,105,05/14/2017 00:00,05/20/2017 00:00,6,6,Late delivery,0,COMPLETE,Standard Class,7745,Corporate,Africa,West Africa,SampleLand,Men's Footwear,Sample Product,110.01,5,56.33,550.05,493.72,119.73,22.52
30066,106,03/15/2017 00:00,03/21/2017 00:00,6,4,Advance shipping,1,CLOSED,Standard Class,6126,Home Office,Africa,South America,SampleLand,Women's Apparel,Sample Product,379.92,2,64.52,759.84,695.32,220.89,-42.91
32014,107,05/19/2016 00:00,05/24/2016 00:00,5,2,Advance shipping,1,ON_HOLD,Second Class,7244,Home Office,Pacific Asia,West Africa,SampleLand,Electronics,Sample Product,319.19,5,113.83,1595.95,1482.12,-93.52,237.67
487,108,09/26/2015 00:00,09/29/2015 00:00,3,2,Late delivery,1,PENDING,Standard Class,9665,Consumer,Pacific Asia,West Africa,SampleLand,Electronics,Sample Product,453.5,3,140.28,1360.5,1220.22,-27.36,417.06
12255,109,05/05/2015 00:00,05/12/2015 00:00,7,4,Advance shipping,1,PENDING_PAYMENT,Second Class,11374,Consumer,Africa,Western Europe,SampleLand,Camping & Hiking,Sample Product,163.76,3,50.57,491.28,440.71,127.69,27.86
370,110,08/19/2017 00:00,08/28/2017 00:00,9,6,Advance shipping,1,PENDING,Second Class,5432,Consumer,Pacific Asia,US Center,SampleLand,Electronics,Sample Product,425.53,1,0.67,425.53,424.86,-27.36,121.64
48356,111,05/24/2016 00:00,05/27/2016 00:00,3,2,Late delivery,1,PROCESSING,Standard Class,9126,Consumer,Pacific Asia,Southeast Asia,SampleLand,Cardio Equipment,Sample Product,345.05,4,187.94,1380.2,1192.26,73.46,-96.27
56460,112,07/26/2015 00:00,07/29/2015 00:00,3,4,Advance shipping,0,ON_HOLD,Standard Class,5891,Home Office,LATAM,South America,SampleLand,Women's Apparel,Sample Product,105.77,1,5.84,105.77,99.93,-6.25,12.72
9730,113,11/09/2015 00:00,11/15/2015 00:00,6,4,Advance shipping,1,COMPLETE,Standard Class,1659,Consumer,LATAM,Western Europe,SampleLand,Water Sports,Sample Product,71.98,4,15.26,287.92,272.66,22.79,53.04
16871,114,08/29/2016 00:00,09/03/2016 00:00,5,6,Advance shipping,0,CLOSED,Standard Class,7150,Consumer,Pacific Asia,US Center,SampleLand,Women's Apparel,Sample Product,354.33,5,108.05,1771.65,1663.6,168.39,72.62
21136,115,07/07/2015 00:00,07/12/2015 00:00,5,2,Shipping on time,1,PENDING_PAYMENT,Standard Class,11435,Consumer,Europe,West Africa,SampleLand,Electronics,Sample Product,87.65,2,18.02,175.3,157.28,-2.98,-8.77
48724,116,07/13/2017 00:00,07/19/2017 00:00,6,6,Advance shipping,0,PENDING,Same Day,5103,Home Office,LATAM,South America,SampleLand,Camping & Hiking,Sample Product,399.22,5,112.59,1996.1,1883.51,-119.15,-3.66
