issue,key,detail,severity,route_to
cost_spike,114618,billed 3.9x catalog-expected amount,critical,Finance Ops
cost_spike,121957,billed 3.9x catalog-expected amount,critical,Finance Ops
cost_spike,100136,billed 2.6x catalog-expected amount,critical,Finance Ops
cost_spike,172777,billed 4.2x catalog-expected amount,critical,Finance Ops
cost_spike,101973,billed 3.3x catalog-expected amount,critical,Finance Ops
cost_spike,8914,billed 4.6x catalog-expected amount,critical,Finance Ops
cost_spike,87995,billed 4.4x catalog-expected amount,critical,Finance Ops
cost_spike,30970,billed 4.4x catalog-expected amount,critical,Finance Ops
cost_spike,71725,billed 4.4x catalog-expected amount,critical,Finance Ops
cost_spike,74551,billed 4.4x catalog-expected amount,critical,Finance Ops
cost_spike,138776,billed 2.7x catalog-expected amount,critical,Finance Ops
cost_spike,157103,billed 3.3x catalog-expected amount,critical,Finance Ops
cost_spike,52502,billed 4.7x catalog-expected amount,critical,Finance Ops
cost_spike,83881,billed 4.6x catalog-expected amount,critical,Finance Ops
cost_spike,154206,billed 3.1x catalog-expected amount,critical,Finance Ops
cost_spike,66263,billed 5.0x catalog-expected amount,critical,Finance Ops
cost_spike,106615,billed 4.6x catalog-expected amount,critical,Finance Ops
cost_spike,77475,billed 4.4x catalog-expected amount,critical,Finance Ops
cost_spike,26104,billed 3.7x catalog-expected amount,critical,Finance Ops
cost_spike,132199,billed 3.0x catalog-expected amount,critical,Finance Ops
cost_spike,135067,billed 4.7x catalog-expected amount,critical,Finance Ops
cost_spike,40998,billed 3.9x catalog-expected amount,critical,Finance Ops
cost_spike,30000,billed 3.7x catalog-expected amount,critical,Finance Ops
cost_spike,29121,billed 5.0x catalog-expected amount,critical,Finance Ops
cost_spike,44446,billed 4.6x catalog-expected amount,critical,Finance Ops
cost_spike,30030,billed 2.6x catalog-expected amount,critical,Finance Ops
cost_spike,145000,billed 3.4x catalog-expected amount,critical,Finance Ops
cost_spike,60652,billed 3.2x catalog-expected amount,critical,Finance Ops
cost_spike,24580,billed 4.0x catalog-expected amount,critical,Finance Ops
cost_spike,127723,billed 3.8x catalog-expected amount,critical,Finance Ops
cost_spike,5325,billed 2.6x catalog-expected amount,critical,Finance Ops
cost_spike,135027,billed 4.6x catalog-expected amount,critical,Finance Ops
cost_spike,10015,billed 2.9x catalog-expected amount,critical,Finance Ops
cost_spike,34308,billed 3.6x catalog-expected amount,critical,Finance Ops
cost_spike,55448,billed 3.6x catalog-expected amount,critical,Finance Ops
cost_spike,58847,billed 3.1x catalog-expected amount,critical,Finance Ops
cost_spike,17350,billed 4.4x catalog-expected amount,critical,Finance Ops
cost_spike,2512,billed 3.3x catalog-expected amount,critical,Finance Ops
cost_spike,138239,billed 4.8x catalog-expected amount,critical,Finance Ops
cost_spike,45722,billed 3.3x catalog-expected amount,critical,Finance Ops
cost_spike,39936,billed 4.7x catalog-expected amount,critical,Finance Ops
cost_spike,74859,billed 2.6x catalog-expected amount,critical,Finance Ops
cost_spike,144371,billed 3.3x catalog-expected amount,critical,Finance Ops
cost_spike,119695,billed 5.0x catalog-expected amount,critical,Finance Ops
cost_spike,166697,billed 4.0x catalog-expected amount,critical,Finance Ops
cost_spike,90557,billed 4.5x catalog-expected amount,critical,Finance Ops
cost_spike,118432,billed 3.1x catalog-expected amount,critical,Finance Ops
cost_spike,51198,billed 3.0x catalog-expected amount,critical,Finance Ops
cost_spike,77036,billed 3.2x catalog-expected amount,critical,Finance Ops
cost_spike,105194,billed 3.0x catalog-expected amount,critical,Finance Ops
cost_spike,57968,billed 3.7x catalog-expected amount,critical,Finance Ops
cost_spike,128277,billed 3.9x catalog-expected amount,critical,Finance Ops
cost_spike,140511,billed 5.0x catalog-expected amount,critical,Finance Ops
cost_spike,33572,billed 4.8x catalog-expected amount,critical,Finance Ops
cost_spike,43911,billed 4.9x catalog-expected amount,critical,Finance Ops
cost_spike,75166,billed 4.4x catalog-expected amount,critical,Finance Ops
cost_spike,77248,billed 4.3x catalog-expected amount,critical,Finance Ops
cost_spike,78253,billed 4.6x catalog-expected amount,critical,Finance Ops
cost_spike,78671,billed 4.3x catalog-expected amount,critical,Finance Ops
cost_spike,79028,billed 4.3x catalog-expected amount,critical,Finance Ops
cost_spike,79243,billed 4.6x catalog-expected amount,critical,Finance Ops
cost_spike,18246,billed 4.6x catalog-expected amount,critical,Finance Ops
cost_spike,167525,billed 5.0x catalog-expected amount,critical,Finance Ops
cost_spike,53983,billed 4.5x catalog-expected amount,critical,Finance Ops
cost_spike,75755,billed 4.9x catalog-expected amount,critical,Finance Ops
cost_spike,141489,billed 4.9x catalog-expected amount,critical,Finance Ops
cost_spike,108477,billed 4.5x catalog-expected amount,critical,Finance Ops
cost_spike,63656,billed 4.5x catalog-expected amount,critical,Finance Ops
cost_spike,5478,billed 4.6x catalog-expected amount,critical,Finance Ops
cost_spike,24693,billed 4.1x catalog-expected amount,critical,Finance Ops
cost_spike,152252,billed 2.8x catalog-expected amount,critical,Finance Ops
cost_spike,90299,billed 3.0x catalog-expected amount,critical,Finance Ops
cost_spike,93346,billed 3.7x catalog-expected amount,critical,Finance Ops
cost_spike,93404,billed 3.6x catalog-expected amount,critical,Finance Ops
cost_spike,93842,billed 4.8x catalog-expected amount,critical,Finance Ops
cost_spike,97483,billed 2.6x catalog-expected amount,critical,Finance Ops
cost_spike,97519,billed 4.9x catalog-expected amount,critical,Finance Ops
cost_spike,57257,billed 2.9x catalog-expected amount,critical,Finance Ops
cost_spike,160683,billed 4.3x catalog-expected amount,critical,Finance Ops
cost_spike,48320,billed 4.8x catalog-expected amount,critical,Finance Ops
cost_spike,149272,billed 2.5x catalog-expected amount,critical,Finance Ops
cost_spike,97290,billed 3.3x catalog-expected amount,critical,Finance Ops
cost_spike,82299,billed 4.0x catalog-expected amount,critical,Finance Ops
cost_spike,67786,billed 3.0x catalog-expected amount,critical,Finance Ops
cost_spike,62731,billed 3.9x catalog-expected amount,critical,Finance Ops
cost_spike,73968,billed 3.9x catalog-expected amount,critical,Finance Ops
cost_spike,74937,billed 4.7x catalog-expected amount,critical,Finance Ops
cost_spike,137208,billed 4.1x catalog-expected amount,critical,Finance Ops
cost_spike,165276,billed 3.5x catalog-expected amount,critical,Finance Ops
cost_spike,79218,billed 4.8x catalog-expected amount,critical,Finance Ops
cost_spike,68950,billed 3.4x catalog-expected amount,critical,Finance Ops
cost_spike,61487,billed 2.5x catalog-expected amount,critical,Finance Ops
cost_spike,110561,billed 4.0x catalog-expected amount,critical,Finance Ops
cost_spike,79526,billed 3.2x catalog-expected amount,critical,Finance Ops
cost_spike,81393,billed 2.8x catalog-expected amount,critical,Finance Ops
cost_spike,83549,billed 2.6x catalog-expected amount,critical,Finance Ops
cost_spike,84388,billed 3.4x catalog-expected amount,critical,Finance Ops
cost_spike,86878,billed 4.6x catalog-expected amount,critical,Finance Ops
cost_spike,87720,billed 4.6x catalog-expected amount,critical,Finance Ops
cost_spike,89501,billed 3.5x catalog-expected amount,critical,Finance Ops
cost_spike,89600,billed 4.1x catalog-expected amount,critical,Finance Ops
cost_spike,90016,billed 3.0x catalog-expected amount,critical,Finance Ops
cost_spike,90291,billed 4.1x catalog-expected amount,critical,Finance Ops
cost_spike,107187,billed 4.7x catalog-expected amount,critical,Finance Ops
cost_spike,108355,billed 2.7x catalog-expected amount,critical,Finance Ops
cost_spike,112315,billed 2.7x catalog-expected amount,critical,Finance Ops
cost_spike,112639,billed 4.2x catalog-expected amount,critical,Finance Ops
cost_spike,117080,billed 4.8x catalog-expected amount,critical,Finance Ops
cost_spike,118771,billed 4.1x catalog-expected amount,critical,Finance Ops
cost_spike,98209,billed 3.4x catalog-expected amount,critical,Finance Ops
cost_spike,98224,billed 3.4x catalog-expected amount,critical,Finance Ops
cost_spike,157426,billed 4.4x catalog-expected amount,critical,Finance Ops
cost_spike,22812,billed 4.5x catalog-expected amount,critical,Finance Ops
cost_spike,178179,billed 4.4x catalog-expected amount,critical,Finance Ops
cost_spike,96011,billed 4.0x catalog-expected amount,critical,Finance Ops
cost_spike,118153,billed 4.0x catalog-expected amount,critical,Finance Ops
cost_spike,131669,billed 3.8x catalog-expected amount,critical,Finance Ops
cost_spike,80124,billed 2.9x catalog-expected amount,critical,Finance Ops
cost_spike,66337,billed 3.2x catalog-expected amount,critical,Finance Ops
cost_spike,41994,billed 3.5x catalog-expected amount,critical,Finance Ops
cost_spike,50631,billed 4.8x catalog-expected amount,critical,Finance Ops
cost_spike,51463,billed 3.9x catalog-expected amount,critical,Finance Ops
cost_spike,51968,billed 4.1x catalog-expected amount,critical,Finance Ops
cost_spike,52089,billed 3.7x catalog-expected amount,critical,Finance Ops
cost_spike,54944,billed 4.2x catalog-expected amount,critical,Finance Ops
cost_spike,4115,billed 4.9x catalog-expected amount,critical,Finance Ops
cost_spike,12339,billed 3.4x catalog-expected amount,critical,Finance Ops
cost_spike,20879,billed 3.0x catalog-expected amount,critical,Finance Ops
cost_spike,42241,billed 3.1x catalog-expected amount,critical,Finance Ops
cost_spike,38568,billed 2.6x catalog-expected amount,critical,Finance Ops
cost_spike,102290,billed 3.9x catalog-expected amount,critical,Finance Ops
cost_spike,102625,billed 4.6x catalog-expected amount,critical,Finance Ops
cost_spike,103885,billed 2.8x catalog-expected amount,critical,Finance Ops
cost_spike,105773,billed 4.2x catalog-expected amount,critical,Finance Ops
cost_spike,106856,billed 4.9x catalog-expected amount,critical,Finance Ops
cost_spike,97426,billed 4.2x catalog-expected amount,critical,Finance Ops
cost_spike,93108,billed 2.6x catalog-expected amount,critical,Finance Ops
cost_spike,131189,billed 3.5x catalog-expected amount,critical,Finance Ops
cost_spike,34068,billed 3.6x catalog-expected amount,critical,Finance Ops
cost_spike,87637,billed 3.7x catalog-expected amount,critical,Finance Ops
cost_spike,77980,billed 4.5x catalog-expected amount,critical,Finance Ops
cost_spike,124028,billed 2.8x catalog-expected amount,critical,Finance Ops
cost_spike,124375,billed 3.6x catalog-expected amount,critical,Finance Ops
cost_spike,128203,billed 4.6x catalog-expected amount,critical,Finance Ops
cost_spike,128740,billed 3.6x catalog-expected amount,critical,Finance Ops
cost_spike,31182,billed 2.5x catalog-expected amount,critical,Finance Ops
cost_spike,33946,billed 4.0x catalog-expected amount,critical,Finance Ops
cost_spike,35683,billed 3.1x catalog-expected amount,critical,Finance Ops
cost_spike,37913,billed 3.1x catalog-expected amount,critical,Finance Ops
cost_spike,39121,billed 2.8x catalog-expected amount,critical,Finance Ops
cost_spike,39691,billed 4.9x catalog-expected amount,critical,Finance Ops
cost_spike,147501,billed 4.3x catalog-expected amount,critical,Finance Ops
cost_spike,147861,billed 2.7x catalog-expected amount,critical,Finance Ops
cost_spike,149112,billed 4.6x catalog-expected amount,critical,Finance Ops
cost_spike,152974,billed 3.6x catalog-expected amount,critical,Finance Ops
cost_spike,155248,billed 2.9x catalog-expected amount,critical,Finance Ops
cost_spike,150260,billed 4.9x catalog-expected amount,critical,Finance Ops
cost_spike,179564,billed 3.7x catalog-expected amount,critical,Finance Ops
cost_spike,65282,billed 3.1x catalog-expected amount,critical,Finance Ops
cost_spike,167044,billed 3.3x catalog-expected amount,critical,Finance Ops
cost_spike,143111,billed 2.7x catalog-expected amount,critical,Finance Ops
cost_spike,2471,billed 3.8x catalog-expected amount,critical,Finance Ops
cost_spike,94324,billed 2.5x catalog-expected amount,critical,Finance Ops
cost_spike,177505,billed 3.5x catalog-expected amount,critical,Finance Ops
cost_spike,46500,billed 2.6x catalog-expected amount,critical,Finance Ops
cost_spike,156699,billed 4.4x catalog-expected amount,critical,Finance Ops
cost_spike,40265,billed 4.6x catalog-expected amount,critical,Finance Ops
cost_spike,100775,billed 3.7x catalog-expected amount,critical,Finance Ops
cost_spike,81827,billed 3.4x catalog-expected amount,critical,Finance Ops
cost_spike,76204,billed 2.8x catalog-expected amount,critical,Finance Ops
cost_spike,176026,billed 3.3x catalog-expected amount,critical,Finance Ops
cost_spike,175083,billed 3.8x catalog-expected amount,critical,Finance Ops
cost_spike,68144,billed 3.4x catalog-expected amount,critical,Finance Ops
cost_spike,170151,billed 3.6x catalog-expected amount,critical,Finance Ops
cost_spike,66392,billed 3.9x catalog-expected amount,critical,Finance Ops
cost_spike,57233,billed 4.8x catalog-expected amount,critical,Finance Ops
cost_spike,12035,billed 4.1x catalog-expected amount,critical,Finance Ops
cost_spike,25303,billed 2.8x catalog-expected amount,critical,Finance Ops
cost_spike,131586,billed 4.4x catalog-expected amount,critical,Finance Ops
cost_spike,132992,billed 3.1x catalog-expected amount,critical,Finance Ops
cost_spike,141334,billed 2.8x catalog-expected amount,critical,Finance Ops
cost_spike,141460,billed 2.6x catalog-expected amount,critical,Finance Ops
cost_spike,147463,billed 3.7x catalog-expected amount,critical,Finance Ops
cost_spike,74333,billed 4.1x catalog-expected amount,critical,Finance Ops
cost_spike,76627,billed 3.5x catalog-expected amount,critical,Finance Ops
cost_spike,76723,billed 5.0x catalog-expected amount,critical,Finance Ops
cost_spike,77686,billed 3.3x catalog-expected amount,critical,Finance Ops
cost_spike,78137,billed 2.9x catalog-expected amount,critical,Finance Ops
cost_spike,83061,billed 4.3x catalog-expected amount,critical,Finance Ops
cost_spike,14392,billed 4.7x catalog-expected amount,critical,Finance Ops
cost_spike,21412,billed 3.2x catalog-expected amount,critical,Finance Ops
cost_spike,15671,billed 3.5x catalog-expected amount,critical,Finance Ops
cost_spike,171948,billed 4.8x catalog-expected amount,critical,Finance Ops
cost_spike,43599,billed 2.8x catalog-expected amount,critical,Finance Ops
cost_spike,143142,billed 4.1x catalog-expected amount,critical,Finance Ops
cost_spike,5127,billed 4.7x catalog-expected amount,critical,Finance Ops
cost_spike,21411,billed 4.8x catalog-expected amount,critical,Finance Ops
cost_spike,12995,billed 4.4x catalog-expected amount,critical,Finance Ops
cost_spike,14585,billed 4.0x catalog-expected amount,critical,Finance Ops
cost_spike,26697,billed 3.0x catalog-expected amount,critical,Finance Ops
cost_spike,83553,billed 4.5x catalog-expected amount,critical,Finance Ops
cost_spike,125196,billed 3.4x catalog-expected amount,critical,Finance Ops
cost_spike,50299,billed 3.2x catalog-expected amount,critical,Finance Ops
cost_spike,165971,billed 3.7x catalog-expected amount,critical,Finance Ops
cost_spike,46239,billed 3.1x catalog-expected amount,critical,Finance Ops
cost_spike,130224,billed 3.9x catalog-expected amount,critical,Finance Ops
cost_spike,55742,billed 2.9x catalog-expected amount,critical,Finance Ops
cost_spike,56542,billed 3.7x catalog-expected amount,critical,Finance Ops
cost_spike,59621,billed 4.0x catalog-expected amount,critical,Finance Ops
cost_spike,62469,billed 4.4x catalog-expected amount,critical,Finance Ops
cost_spike,63858,billed 2.7x catalog-expected amount,critical,Finance Ops
cost_spike,64430,billed 4.4x catalog-expected amount,critical,Finance Ops
cost_spike,68618,billed 2.5x catalog-expected amount,critical,Finance Ops
cost_spike,70767,billed 3.7x catalog-expected amount,critical,Finance Ops
cost_spike,72314,billed 3.8x catalog-expected amount,critical,Finance Ops
cost_spike,123302,billed 3.1x catalog-expected amount,critical,Finance Ops
cost_spike,120918,billed 3.4x catalog-expected amount,critical,Finance Ops
cost_spike,90574,billed 2.8x catalog-expected amount,critical,Finance Ops
cost_spike,102471,billed 4.8x catalog-expected amount,critical,Finance Ops
cost_spike,31627,billed 4.7x catalog-expected amount,critical,Finance Ops
cost_spike,168085,billed 4.5x catalog-expected amount,critical,Finance Ops
cost_spike,96783,billed 4.0x catalog-expected amount,critical,Finance Ops
cost_spike,5689,billed 4.7x catalog-expected amount,critical,Finance Ops
cost_spike,169609,billed 3.7x catalog-expected amount,critical,Finance Ops
cost_spike,90402,billed 4.7x catalog-expected amount,critical,Finance Ops
cost_spike,73864,billed 4.0x catalog-expected amount,critical,Finance Ops
cost_spike,121884,billed 4.0x catalog-expected amount,critical,Finance Ops
cost_spike,103381,billed 4.3x catalog-expected amount,critical,Finance Ops
cost_spike,105121,billed 4.6x catalog-expected amount,critical,Finance Ops
cost_spike,32140,billed 3.5x catalog-expected amount,critical,Finance Ops
cost_spike,48953,billed 2.9x catalog-expected amount,critical,Finance Ops
cost_spike,156264,billed 4.5x catalog-expected amount,critical,Finance Ops
cost_spike,48757,billed 2.6x catalog-expected amount,critical,Finance Ops
cost_spike,114756,billed 4.4x catalog-expected amount,critical,Finance Ops
cost_spike,27187,billed 3.3x catalog-expected amount,critical,Finance Ops
cost_spike,49275,billed 2.8x catalog-expected amount,critical,Finance Ops
cost_spike,83067,billed 3.3x catalog-expected amount,critical,Finance Ops
cost_spike,174336,billed 3.0x catalog-expected amount,critical,Finance Ops
cost_spike,22638,billed 3.1x catalog-expected amount,critical,Finance Ops
cost_spike,56366,billed 2.9x catalog-expected amount,critical,Finance Ops
cost_spike,113002,billed 4.3x catalog-expected amount,critical,Finance Ops
cost_spike,104697,billed 4.9x catalog-expected amount,critical,Finance Ops
cost_spike,1436,billed 2.7x catalog-expected amount,critical,Finance Ops
cost_spike,93941,billed 2.6x catalog-expected amount,critical,Finance Ops
cost_spike,98052,billed 3.1x catalog-expected amount,critical,Finance Ops
cost_spike,113793,billed 3.7x catalog-expected amount,critical,Finance Ops
cost_spike,156630,billed 3.9x catalog-expected amount,critical,Finance Ops
cost_spike,138867,billed 5.0x catalog-expected amount,critical,Finance Ops
cost_spike,8462,billed 3.0x catalog-expected amount,critical,Finance Ops
cost_spike,141348,billed 3.1x catalog-expected amount,critical,Finance Ops
cost_spike,149154,billed 3.9x catalog-expected amount,critical,Finance Ops
cost_spike,40150,billed 3.3x catalog-expected amount,critical,Finance Ops
cost_spike,78382,billed 5.0x catalog-expected amount,critical,Finance Ops
cost_spike,50336,billed 4.7x catalog-expected amount,critical,Finance Ops
cost_spike,30895,billed 2.8x catalog-expected amount,critical,Finance Ops
cost_spike,165461,billed 4.3x catalog-expected amount,critical,Finance Ops
cost_spike,112125,billed 4.5x catalog-expected amount,critical,Finance Ops
cost_spike,2099,billed 2.9x catalog-expected amount,critical,Finance Ops
cost_spike,172231,billed 3.0x catalog-expected amount,critical,Finance Ops
cost_spike,155242,billed 4.5x catalog-expected amount,critical,Finance Ops
cost_spike,47318,billed 4.2x catalog-expected amount,critical,Finance Ops
cost_spike,170618,billed 4.5x catalog-expected amount,critical,Finance Ops
cost_spike,27590,billed 4.8x catalog-expected amount,critical,Finance Ops
cost_spike,3305,billed 4.5x catalog-expected amount,critical,Finance Ops
cost_spike,3432,billed 3.2x catalog-expected amount,critical,Finance Ops
cost_spike,4795,billed 4.7x catalog-expected amount,critical,Finance Ops
cost_spike,7341,billed 2.9x catalog-expected amount,critical,Finance Ops
cost_spike,7639,billed 3.5x catalog-expected amount,critical,Finance Ops
cost_spike,11977,billed 3.4x catalog-expected amount,critical,Finance Ops
cost_spike,90869,billed 4.5x catalog-expected amount,critical,Finance Ops
cost_spike,3111,billed 4.1x catalog-expected amount,critical,Finance Ops
cost_spike,140867,billed 4.4x catalog-expected amount,critical,Finance Ops
cost_spike,161528,billed 4.8x catalog-expected amount,critical,Finance Ops
cost_spike,150674,billed 3.6x catalog-expected amount,critical,Finance Ops
cost_spike,48804,billed 3.8x catalog-expected amount,critical,Finance Ops
cost_spike,49524,billed 4.4x catalog-expected amount,critical,Finance Ops
cost_spike,32736,billed 2.9x catalog-expected amount,critical,Finance Ops
cost_spike,119825,billed 2.9x catalog-expected amount,critical,Finance Ops
cost_spike,130370,billed 2.6x catalog-expected amount,critical,Finance Ops
cost_spike,116224,billed 2.9x catalog-expected amount,critical,Finance Ops
cost_spike,116746,billed 4.9x catalog-expected amount,critical,Finance Ops
cost_spike,117658,billed 2.6x catalog-expected amount,critical,Finance Ops
cost_spike,118907,billed 4.2x catalog-expected amount,critical,Finance Ops
cost_spike,120381,billed 2.9x catalog-expected amount,critical,Finance Ops
cost_spike,122579,billed 4.0x catalog-expected amount,critical,Finance Ops
cost_spike,31024,billed 4.8x catalog-expected amount,critical,Finance Ops
cost_spike,31668,billed 2.6x catalog-expected amount,critical,Finance Ops
cost_spike,3394,billed 3.1x catalog-expected amount,critical,Finance Ops
cost_spike,166483,billed 4.8x catalog-expected amount,critical,Finance Ops
cost_spike,161990,billed 2.9x catalog-expected amount,critical,Finance Ops
cost_spike,181,billed 4.9x catalog-expected amount,critical,Finance Ops
cost_spike,1307,billed 3.8x catalog-expected amount,critical,Finance Ops
cost_spike,2081,billed 4.1x catalog-expected amount,critical,Finance Ops
cost_spike,2224,billed 4.1x catalog-expected amount,critical,Finance Ops
cost_spike,2488,billed 3.4x catalog-expected amount,critical,Finance Ops
cost_spike,132627,billed 3.7x catalog-expected amount,critical,Finance Ops
cost_spike,76283,billed 4.6x catalog-expected amount,critical,Finance Ops
cost_spike,149105,billed 4.4x catalog-expected amount,critical,Finance Ops
cost_spike,12008,billed 3.3x catalog-expected amount,critical,Finance Ops
cost_spike,157272,billed 4.9x catalog-expected amount,critical,Finance Ops
cost_spike,172886,billed 3.6x catalog-expected amount,critical,Finance Ops
cost_spike,12437,billed 4.2x catalog-expected amount,critical,Finance Ops
cost_spike,109199,billed 3.3x catalog-expected amount,critical,Finance Ops
cost_spike,110149,billed 3.9x catalog-expected amount,critical,Finance Ops
cost_spike,110244,billed 3.5x catalog-expected amount,critical,Finance Ops
cost_spike,111699,billed 3.0x catalog-expected amount,critical,Finance Ops
cost_spike,112199,billed 3.0x catalog-expected amount,critical,Finance Ops
cost_spike,113124,billed 3.0x catalog-expected amount,critical,Finance Ops
cost_spike,113980,billed 4.6x catalog-expected amount,critical,Finance Ops
cost_spike,114863,billed 3.7x catalog-expected amount,critical,Finance Ops
cost_spike,116191,billed 3.9x catalog-expected amount,critical,Finance Ops
cost_spike,14583,billed 4.6x catalog-expected amount,critical,Finance Ops
cost_spike,22399,billed 4.6x catalog-expected amount,critical,Finance Ops
cost_spike,49384,billed 4.7x catalog-expected amount,critical,Finance Ops
cost_spike,127042,billed 4.7x catalog-expected amount,critical,Finance Ops
cost_spike,47276,billed 3.3x catalog-expected amount,critical,Finance Ops
cost_spike,48066,billed 3.7x catalog-expected amount,critical,Finance Ops
cost_spike,123868,billed 3.4x catalog-expected amount,critical,Finance Ops
cost_spike,124588,billed 2.6x catalog-expected amount,critical,Finance Ops
cost_spike,124816,billed 3.1x catalog-expected amount,critical,Finance Ops
cost_spike,125522,billed 3.5x catalog-expected amount,critical,Finance Ops
cost_spike,125944,billed 4.6x catalog-expected amount,critical,Finance Ops
cost_spike,127774,billed 3.8x catalog-expected amount,critical,Finance Ops
cost_spike,128158,billed 2.7x catalog-expected amount,critical,Finance Ops
cost_spike,130345,billed 3.1x catalog-expected amount,critical,Finance Ops
cost_spike,130997,billed 4.6x catalog-expected amount,critical,Finance Ops
